,Unnamed: 0,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients
423,423,https://www.marmiton.org/recettes/recette_galette-des-rois-creme-d-amande-speculoos_334909.aspx,0.0,0.0,74.0,Galette des rois crème d'amande-spéculoos,50 min,facile,bon marché,10.0,"['2 pâtes feuilletées pur beurre', ""90 g d'amandes"", '90 g de beurre ramolli', '90 g de sucre roux', '200 g de crème de spéculoos (rayon pâte à tartiner)', '2 oeufs + 1 jaune', '1/2 cuillère à café de cannelle', '1 fève']"
424,424,https://www.marmiton.org/recettes/recette_galettes-de-mais-a-ma-facon_343702.aspx,0.0,0.0,71.0,Galettes de maïs à ma façon,45 min,facile,bon marché,8.0,"['6 oeufs', '50 g de farine', '30 cl de crème liquide', '300 g de maïs', '1 pincée de sel', '1 pincée de poivre', '1 cuillère à café de muscade']"
425,425,https://www.marmiton.org/recettes/recette_crumble-d-hiver-aux-noix-et-rhum_165914.aspx,0.0,0.0,27.0,Crumble d'hiver aux noix et rhum,40 min,facile,bon marché,4.0,"['3 clémentines ou Mandarines', '1 petite grappe de raisin (sans pépin si possible)', '4 noix', '1 rhum (ambré)', '150 g de farine', '100 g de sucre', '50 g de beurre', '2 cuillères de cassonade brune']"
426,426,https://www.marmiton.org/recettes/recette_compotee-de-fruits-a-la-noix-de-coco_175834.aspx,0.0,0.0,49.0,Compotée de fruits d'hiver aux cranberries,35 min,facile,Coût moyen,2.0,"['2 pommes', '2 poires', '1 kiwi', '30 g de cranberries séchées', '1 cuillère à soupe de noix de coco rapée', ""1 cuillère à soupe de jus d'orange""]"
427,427,https://www.marmiton.org/recettes/recette_tarte-d-hiver-chou-pommes-de-terre_23901.aspx,0.0,0.0,25.0,Tarte d'hiver chou/pommes de terre,1h05,facile,Coût moyen,4.0,"['1 pâte brisée', '1 chou-fleur en bouquets', '2 oignons hachés', '4 pommes de terre', '4 saucisses', ""100 g d'olives noires dénoyautées"", '50 g de gruyère râpé', '40 g de beurre', 'Poivre', 'Sel']"
428,428,https://www.marmiton.org/recettes/recette_bouquettes-liegeoises-crepes-belges-de-noel_65618.aspx,5.0,3.0,463.0,Bouquettes liégeoises (crêpes belges de Noël),4h05,facile,bon marché,6.0,"['500 g de farine pour pâtisserie', '500 g de farine de sarrasin (farine de blé noir)', '75 g de levure fraîche (3 cubes)', '2 oeufs', '50 cl de lait', ""50 cl d'eau"", '5 cl de rhum', '50 g de raisins secs selon le goût', 'Matière grasse pour cuire', 'Cassonade', 'Sucre fin']"
429,429,https://www.marmiton.org/recettes/recette_galette-berrichonne-aux-pommes-de-terre_39791.aspx,3.5,17.0,6200.0,Galette berrichonne aux pommes de terre,45 min,très facile,bon marché,8.0,"[""500 g de pomme de terre cuites à l'eau"", '350 g de fromage blanc en faisselle (l’idéal est un fromage blanc fermier)', '2 pâtes feuilletées (prêtes à dérouler)', '1 oeuf', 'Lait', 'Poivre', 'Sel']"
430,430,https://www.marmiton.org/recettes/recette_sables-de-noel-decores-au-glacage_529195.aspx,4.3,3.0,0.0,Sablés de Noël décorés au glaçage,2h20,Niveau moyen,bon marché,10.0,"['170 g de beurre', '170 g de sucre', '1 gousse de vanille (ou extrait de vanille)', '5 g de sel', '1 oeuf', '300 g de farine', '200 g de sucre glace', ""1 blanc d'oeuf"", 'Colorant alimentaire rouge et beige (en gel ou en poudre, le gel est plus facile à mélanger)']"
431,431,https://www.marmiton.org/recettes/recette_pate-sans-oeufs-pour-galettes-de-sarrasin_64378.aspx,4.5,25.0,1500.0,Pâte sans oeufs pour galettes de sarrasin,35 min,facile,bon marché,12.0,"['300 g de farine de sarrasin', 'Gros sel', 'Eau de source']"
432,432,https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-framboise_164710.aspx,4.7,11.0,1500.0,Galette des rois à la framboise,45 min,facile,bon marché,4.0,"['2 pâtes feuilletées (environ 200G chacune)', '3 cuillères à soupe de confiture de framboise', ""150 g de poudre d'amandes"", '75 g de beurre', '2 oeufs', '100 g de sucre en poudre', '1 sachet de sucre vanillé (environ 7-8g)', ""goutte d'extrait d'amande amère"", '1 filet de crème fraîche (facultatif)']"
